job_id,asset,metric_type,metric_name,value,confidence,status,timestamp
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,sentiment,overall_sentiment,-0.002154889421424598,0.511261797898391,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,confidence,overall_confidence,0.511261797898391,1.0,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,performance,execution_time_seconds,14.204424,1.0,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,component_sentiment,fii_dii_flows_sentiment,0.0,0.5,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,component_weight,fii_dii_flows_weight,0.35,1.0,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,component_sentiment,technical_analysis_sentiment,0.0,0.5,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,component_weight,technical_analysis_weight,0.3,1.0,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,component_sentiment,market_sentiment_vix_sentiment,0.0,0.5,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,component_weight,market_sentiment_vix_weight,0.2,1.0,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,component_sentiment,rbi_interest_rates_sentiment,0.0,0.5,success,2025-09-09T21:10:02.161686
9b7606e5-6ce4-4546-8a35-8fa0ab78b5c5,NIFTY50,component_weight,rbi_interest_rates_weight,0.1,1.0,success,2025-09-09T21:10:02.161686
